temperature,pressure,vibration,machine_age,failure
49.963209507789,2.666196359547577,1.3823578503059395,3,0
96.05714451279329,5.877108526405223,1.3101961154527992,9,1
78.5595153449124,8.856512522887675,4.54064744455308,5,1
67.89267873576293,7.590023977686051,1.32277637926258,8,1
32.48149123539492,8.259050330753048,1.432553658030292,7,0
32.47956162689621,6.929050300396456,3.8210514858480225,8,0
24.64668897345596,7.230489080660672,2.303725228007646,7,0
89.29409166199481,8.642760864087872,3.9058817290803884,3,0
68.0892009394567,3.2470120797326736,0.4202941720654877,2,1
76.64580622368364,5.404824672788264,2.4890988489995833,7,0
21.646759543664196,2.99088497637642,0.26470664089808493,3,0
97.59278817295954,9.889012071969823,0.4070006969312372,3,1
86.59541126403374,9.49653405717952,4.541543521387614,2,1
36.987128854262096,1.354841302316553,0.7823023184762163,4,0
34.54599737656805,7.350176552641196,2.708861343148564,8,1
34.6723607882747,9.327234856740992,2.1143684527434625,1,0
44.33937943676302,2.6251781061460018,1.8019822986683294,1,1
61.98051453057903,6.111507074973665,4.509183393867635,5,0
54.55560149136926,9.239394678292376,0.20693464419989857,5,0
43.298331215843355,1.3055138072721895,3.3525694622603868,1,0
68.94823157779035,7.276782405221559,4.820632727646397,6,0
31.15950885216335,3.676141066352957,2.844824098963026,1,0
43.37157188281745,9.319565758388773,4.69043006396215,5,1
49.308947463495336,9.73952420648831,0.3560636085015165,9,0
56.48559873736288,9.498398402020905,2.152087263463391,5,0
82.81407691144109,5.267927949917174,1.3747731757140509,6,0
35.97390257266878,8.758383858903821,3.6810227284055763,8,0
61.13875507308893,8.600944586815633,4.908355743436509,1,0
67.39316550896339,3.871904259189301,1.3569973059768143,2,1
23.71603301759982,8.460239267356096,3.3054555472229654,9,1
68.60358815211507,1.3330687124394336,1.0706784005227268,3,0
33.64192989498332,6.366428906338477,2.870118247400889,6,1
25.20412743882236,3.0700795355893273,2.3732691847728478,5,0
95.91084298026666,2.0851019719955093,4.862826115194531,2,1
97.25056264596475,1.6925788146628824,3.0817836362126863,7,1
84.67178784931689,7.266598982903258,1.8125812232254122,4,0
44.36910153386965,4.058874673912595,0.6590693459508735,1,1
27.81376912051071,7.522900943758853,0.8411094608011793,4,1
74.73864212097254,1.5882070671904813,1.204052956761052,6,0
55.21219949916811,3.837613040475493,1.3297366405674604,7,0
29.763058787582306,5.855421631378035,4.268018683421575,7,1
59.614152808901615,8.116508483550671,2.8499916625843724,7,1
22.75108168921747,3.8687725263886295,2.664615465734396,3,1
92.74563216630257,6.633022387933082,0.6623674721591656,6,0
40.70239852800135,8.973799734125684,4.314684497412231,8,1
73.00178274831856,6.542768693640741,3.6417900857215706,4,1
44.93688608715288,3.096635272782704,0.4315749733100078,8,1
61.605441694224865,1.2196070340088423,3.568391976425867,2,0
63.73682234746237,8.830889865108368,2.763337264978966,9,0
34.788356442042165,1.1914246976534844,0.5004541941592134,9,0
97.56677022116469,8.872315054157795,2.345673143490417,8,0
